Front	X	Y
1	0.999019	0.651633
1	0.993030	0.752078
1	0.988012	0.874761
1	0.972777	0.970196
1	0.815228	0.974407
2	0.998945	0.109056
2	0.988760	0.457178
2	0.955288	0.954532
3	0.981727	0.106616
3	0.907001	0.145198
3	0.901472	0.176940
3	0.892348	0.768259
3	0.873739	0.897486
3	0.766102	0.915191
3	0.696862	0.946314
3	0.441521	0.953960
4	0.976795	0.046587
4	0.860193	0.349253
4	0.857112	0.641920
4	0.818135	0.756318
4	0.756581	0.811260
4	0.649844	0.897330
4	0.594962	0.942921
5	0.799464	0.516588
5	0.774971	0.652175
5	0.730381	0.694519
5	0.659750	0.791958
5	0.566536	0.814675
5	0.546350	0.821297
5	0.310878	0.942783
6	0.785009	0.016944
6	0.782551	0.395049
6	0.703265	0.582441
6	0.695801	0.610800
6	0.651855	0.639133
6	0.650651	0.788220
6	0.306606	0.917208
6	0.283913	0.928738
6	0.139937	0.931415
7	0.776013	0.362655
7	0.768959	0.388503
7	0.679359	0.455406
7	0.656967	0.477577
7	0.650632	0.787428
7	0.276177	0.801148
7	0.234586	0.886980
7	0.155665	0.918809
8	0.716728	0.064619
8	0.664147	0.366173
8	0.610367	0.435402
8	0.520482	0.722281
8	0.505033	0.767146
8	0.432202	0.780277
8	0.131704	0.800693
9	0.675137	0.032239
9	0.670637	0.041109
9	0.618658	0.188964
9	0.545777	0.240148
9	0.535410	0.318110
9	0.503699	0.561909
9	0.498777	0.640849
9	0.456015	0.697686
9	0.231482	0.744334
10	0.654643	0.021878
10	0.604554	0.038637
10	0.592485	0.061424
10	0.552325	0.114667
10	0.520500	0.256305
10	0.502374	0.485243
10	0.436568	0.679586
10	0.206313	0.726638
11	0.539306	0.068045
11	0.520821	0.080604
11	0.505471	0.189653
11	0.495247	0.319356
11	0.398103	0.453839
11	0.287443	0.598953
11	0.242680	0.641204
11	0.144906	0.722237
12	0.492605	0.106508
12	0.464579	0.235965
12	0.407358	0.313463
12	0.325955	0.409100
12	0.261573	0.547314
12	0.170620	0.557842
12	0.006364	0.585612
13	0.456517	0.076813
13	0.397842	0.257136
13	0.112424	0.502500
14	0.420906	0.001785
14	0.359496	0.038303
14	0.338423	0.133879
14	0.145444	0.221205
14	0.133282	0.236837
15	0.316895	0.048484
15	0.202826	0.057652
15	0.064890	0.212371
16	0.176040	0.046886
16	0.075362	0.046970
17	0.084504	0.046375
